block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,0,meetNewFriends,WhiteBoy,WhiteGirl,circleBlack,none,center,1,,black-background,FAM
1,1,E_hiDoa,WhiteBoyOutline,WhiteGirlGray,circleBlack,Outgroup,left,0,,black-background,intro
1,2,K_hiRaylor,WhiteBoyGray,WhiteGirlOutline,circleBlack,Ingroup,right,2,,black-background,intro
1,3,E_it.that_apple,WhiteBoyOutline,WhiteGirlGray,ApplecircleBlack,apple_Outgroup,left,0,,black-background,FAM
1,4,K_it.see_apple,WhiteBoyGray,WhiteGirlOutline,ApplecircleBlack,apple_Ingroup,right,2,,black-background,FAM
1,5,K_that.it_truck,WhiteBoyGray,WhiteGirlOutline,TruckcircleBlack,truck_Ingroup,right,2,,black-background,FAM
1,6,E_that.it_truck,WhiteBoyOutline,WhiteGirlGray,TruckcircleBlack,truck_Outgroup,left,0,,black-background,FAM
1,7,E_see.it_ball,WhiteBoyOutline,WhiteGirlGray,BallcircleBlack,ball_Outgroup,left,0,,black-background,FAM
1,8,K_that.it_ball,WhiteBoyGray,WhiteGirlOutline,BallcircleBlack,ball_Ingroup,right,2,,black-background,FAM
1,9,E_that.see_shoe,WhiteBoyOutline,WhiteGirlGray,ShoecircleBlack,shoe_Outgroup,left,0,,black-background,FAM
1,10,K_see.that_shoe,WhiteBoyGray,WhiteGirlOutline,ShoecircleBlack,shoe_Ingroup,right,2,,black-background,FAM
2,11,find_truck500,truckSquare,ballSquare,Black,truck,left,0,,black-background,FAM_LWL
2,12,where_apple500,appleSquare,shoeSquare,Black,apple,left,0,,black-background,FAM_LWL
2,13,find_ball500,truckSquare,ballSquare,Black,ball,right,2,,black-background,FAM_LWL
2,14,where_shoe500,shoeSquare,appleSquare,Black,shoe,left,0,,black-background,FAM_LWL
2,15,greatJob,LbeachBlack,RbeachBlack,Black,AG,center,1,,black-background,filler
3,16,E_that.see_koba,WhiteBoyOutline,WhiteGirlGray,nov1S1Circle,koba_Outgroup,left,0,,black-background,Teaching
3,17,K_see.it_blicket,WhiteBoyGray,WhiteGirlOutline,nov1S1Circle,blicket_Ingroup,right,2,,black-background,Teaching
3,18,K_that.it_cheem,WhiteBoyGray,WhiteGirlOutline,nov2S1Circle,cheem_Ingroup,right,2,,black-background,Teaching
3,19,E_see.that_fisp,WhiteBoyOutline,WhiteGirlGray,nov2S1Circle,fisp_Outgroup,left,0,,black-background,Teaching
3,20,E_it.that_manu,WhiteBoyOutline,WhiteGirlGray,nov3S1Circle,manu_Outgroup,left,0,,black-background,Teaching
3,21,K_see.it_regli,WhiteBoyGray,WhiteGirlOutline,nov3S1Circle,regli_Ingroup,right,2,,black-background,Teaching
3,22,E_it.that_pank,WhiteBoyOutline,WhiteGirlGray,nov4S1Circle,pank_Outgroup,left,0,,black-background,Teaching
3,23,K_it.that_smope,WhiteBoyGray,WhiteGirlOutline,nov4S1Circle,smope_Ingroup,right,2,,black-background,Teaching
3,24,K_that.it_cheem,WhiteBoyGray,WhiteGirlOutline,nov2S1Circle,cheem_Ingroup,right,2,,black-background,Teaching
3,25,E_it.see_fisp,WhiteBoyOutline,WhiteGirlGray,nov2S1Circle,fisp_Outgroup,left,0,,black-background,Teaching
3,26,E_that.see_pank,WhiteBoyOutline,WhiteGirlGray,nov4S1Circle,pank_Outgroup,left,0,,black-background,Teaching
3,27,K_it.that_smope,WhiteBoyGray,WhiteGirlOutline,nov4S1Circle,smope_Ingroup,right,2,,black-background,Teaching
3,28,K_see.it_blicket,WhiteBoyGray,WhiteGirlOutline,nov1S1Circle,blicket_Ingroup,right,2,,black-background,Teaching
3,29,E_that.see_koba,WhiteBoyOutline,WhiteGirlGray,nov1S1Circle,koba_Outgroup,left,0,,black-background,Teaching
3,30,E_it.see_manu,WhiteBoyOutline,WhiteGirlGray,nov3S1Circle,manu_Outgroup,left,0,,black-background,Teaching
3,31,K_see.it_regli,WhiteBoyGray,WhiteGirlOutline,nov3S1Circle,regli_Ingroup,right,2,,black-background,Teaching
4,32,where_manu500,nov1S1Square,nov3S1Square,Black,manu_Outgroup,right,2,,black-background,ImmTest
4,33,where_fisp500,nov2S1Square,nov4S1Square,Black,fisp_Outgroup,left,0,,black-background,ImmTest
4,34,find_pank500,nov4S1Square,nov1S1Square,Black,pank_Outgroup,left,0,,black-background,ImmTest
4,35,find_cheem500,nov3S1Square,nov2S1Square,Black,cheem_Ingroup,right,2,,black-background,ImmTest
4,36,where_blicket500,nov1S1Square,nov3S1Square,Black,blicket_Ingroup,left,0,,black-background,ImmTest
4,37,where_smope500,nov2S1Square,nov4S1Square,Black,smope_Ingroup,right,2,,black-background,ImmTest
