block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,1,where_shoe500,shoeSquare,truckSquare,Black,shoe,left,0,,black-background,FAM_LWL
1,2,where_blicket500,nov1S1Square,nov3S1Square,Black,blicket,left,0,,black-background,DelayTest
1,3,find_leam500,nov6S1Square,nov8S1Square,Black,leam,right,2,,black-background,DelayTest
1,4,where_smope500,nov4S1Square,nov1S1Square,Black,smope,left,0,,black-background,DelayTest
1,5,where_akar500,nov5S1Square,nov7S1Square,Black,akar,right,2,,black-background,DelayTest
1,6,where_apple500,shoeSquare,appleSquare,Black,apple,right,2,,black-background,FAM_LWL
1,7,find_regli500,nov3S1Square,nov2S1Square,Black,regli,left,0,,black-background,DelayTest
1,8,where_fisp500,nov2S1Square,nov4S1Square,Black,fisp,left,0,,black-background,DelayTest
1,9,where_zorch500,nov8S1Square,nov5S1Square,Black,zorch,right,2,,black-background,DelayTest
1,10,where_manu500,nov3S1Square,nov1S1Square,Black,manu,left,0,,black-background,DelayTest
1,11,find_ball500,truckSquare,ballSquare,Black,ball,right,2,,black-background,FAM_LWL
1,12,where_teebu500,nov6S1Square,nov7S1Square,Black,teebu,left,0,,black-background,DelayTest
1,13,find_pank500,nov2S1Square,nov4S1Square,Black,pank,right,2,,black-background,DelayTest
1,14,find_jick500,nov8S1Square,nov5S1Square,Black,jick,right,2,,black-background,DelayTest
1,15,find_koba500,nov1S1Square,nov3S1Square,Black,koba,left,0,,black-background,DelayTest
1,16,where_apple500,appleSquare,shoeSquare,Black,apple,left,0,,black-background,FAM_LWL
1,17,find_doff500,nov6S1Square,nov8S1Square,Black,doff,right,2,,black-background,DelayTest
1,18,find_cheem500,nov3S1Square,nov2S1Square,Black,cheem,right,2,,black-background,DelayTest
1,19,find_wiso500,nov6S1Square,nov7S1Square,Black,wiso,left,0,,black-background,DelayTest
1,20,where_vab500,nov5S1Square,nov7S1Square,Black,vab,right,2,,black-background,DelayTest
1,21,find_truck500,truckSquare,ballSquare,Black,car,left,0,,black-background,FAM_LWL
1,22,alldone,LoceanBlack,RoceanBlack,Black,AG,center,1,,black-background,filler
