block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,0,meetNewFriends,WhiteBoy2,BlackBoy2,circleBlack,none,center,1,,black-background,FAM
1,1,E_hiTevi,WhiteBoy2Outline,BlackBoy2Gray,circleBlack,Outgroup,left,0,,black-background,intro
1,2,K_hiKito,WhiteBoy2Gray,BlackBoy2Outline,circleBlack,Ingroup,right,2,,black-background,intro
1,3,E_it.that_apple,WhiteBoy2Outline,BlackBoy2Gray,ApplecircleBlack,apple_Outgroup,left,0,,black-background,FAM
1,4,K_it.see_apple,WhiteBoy2Gray,BlackBoy2Outline,ApplecircleBlack,apple_Ingroup,right,2,,black-background,FAM
1,5,K_that.it_truck,WhiteBoy2Gray,BlackBoy2Outline,TruckcircleBlack,truck_Ingroup,right,2,,black-background,FAM
1,6,E_that.it_truck,WhiteBoy2Outline,BlackBoy2Gray,TruckcircleBlack,truck_Outgroup,left,0,,black-background,FAM
1,7,E_see.it_ball,WhiteBoy2Outline,BlackBoy2Gray,BallcircleBlack,ball_Outgroup,left,0,,black-background,FAM
1,8,K_that.it_ball,WhiteBoy2Gray,BlackBoy2Outline,BallcircleBlack,ball_Ingroup,right,2,,black-background,FAM
1,9,E_that.see_shoe,WhiteBoy2Outline,BlackBoy2Gray,ShoecircleBlack,shoe_Outgroup,left,0,,black-background,FAM
1,10,K_see.that_shoe,WhiteBoy2Gray,BlackBoy2Outline,ShoecircleBlack,shoe_Ingroup,right,2,,black-background,FAM
2,11,find_truck500,truckSquare,ballSquare,Black,truck,left,0,,black-background,FAM_LWL
2,12,where_apple500,appleSquare,shoeSquare,Black,apple,left,0,,black-background,FAM_LWL
2,13,find_ball500,truckSquare,ballSquare,Black,ball,right,2,,black-background,FAM_LWL
2,14,where_shoe500,shoeSquare,appleSquare,Black,shoe,left,0,,black-background,FAM_LWL
2,15,greatJob,LbeachBlack,RbeachBlack,Black,AG,center,1,,black-background,filler
3,16,E_that.see_glark,WhiteBoy2Outline,BlackBoy2Gray,nov1S2Circle,glark_Outgroup,left,0,,black-background,Teaching
3,17,K_see.it_bem,WhiteBoy2Gray,BlackBoy2Outline,nov1S2Circle,bem_Ingroup,right,2,,black-background,Teaching
3,18,K_that.it_virdex,WhiteBoy2Gray,BlackBoy2Outline,nov2S2Circle,virdex_Ingroup,right,2,,black-background,Teaching
3,19,E_see.that_tanzer,WhiteBoy2Outline,BlackBoy2Gray,nov2S2Circle,tanzer_Outgroup,left,0,,black-background,Teaching
3,20,E_it.that_krat,WhiteBoy2Outline,BlackBoy2Gray,nov3S2Circle,krat_Outgroup,left,0,,black-background,Teaching
3,21,K_see.it_juff,WhiteBoy2Gray,BlackBoy2Outline,nov3S2Circle,juff_Ingroup,right,2,,black-background,Teaching
3,22,E_that.see_fiffen,WhiteBoy2Outline,BlackBoy2Gray,nov4S2Circle,fiffen_Outgroup,left,0,,black-background,Teaching
3,23,K_it.that_coodle,WhiteBoy2Gray,BlackBoy2Outline,nov4S2Circle,coodle_Ingroup,right,2,,black-background,Teaching
3,24,K_that.it_virdex,WhiteBoy2Gray,BlackBoy2Outline,nov2S2Circle,virdex_Ingroup,right,2,,black-background,Teaching
3,25,E_see.that_tanzer,WhiteBoy2Outline,BlackBoy2Gray,nov2S2Circle,tanzer_Outgroup,left,0,,black-background,Teaching
3,26,E_that.see_fiffen,WhiteBoy2Outline,BlackBoy2Gray,nov4S2Circle,fiffen_Outgroup,left,0,,black-background,Teaching
3,27,K_it.that_coodle,WhiteBoy2Gray,BlackBoy2Outline,nov4S2Circle,coodle_Ingroup,right,2,,black-background,Teaching
3,28,K_see.it_bem,WhiteBoy2Gray,BlackBoy2Outline,nov1S2Circle,bem_Ingroup,right,2,,black-background,Teaching
3,29,E_that.see_glark,WhiteBoy2Outline,BlackBoy2Gray,nov1S2Circle,glark_Outgroup,left,0,,black-background,Teaching
3,30,E_it.that_krat,WhiteBoy2Outline,BlackBoy2Gray,nov3S2Circle,krat_Outgroup,left,0,,black-background,Teaching
3,31,K_see.it_juff,WhiteBoy2Gray,BlackBoy2Outline,nov3S2Circle,juff_Ingroup,right,2,,black-background,Teaching
