block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,0,500msSilence,Black,Black,Black,AG,center,1,,black-background,filler
1,1,meetNewFriends,BlackBoy2,WhiteBoy2,circleBlack,none,center,1,,black-background,FAM
1,2,E_hiTevi,BlackBoy2Outline,WhiteBoy2Gray,circleBlack,Ingroup,left,0,,black-background,intro
1,3,K_hiKito,BlackBoy2Gray,WhiteBoy2Outline,circleBlack,Outgroup,right,2,,black-background,intro
1,4,E_it.that_apple,BlackBoy2Outline,WhiteBoy2Gray,ApplecircleBlack,apple_Ingroup,left,0,,black-background,FAM
1,5,K_it.see_apple,BlackBoy2Gray,WhiteBoy2Outline,ApplecircleBlack,apple_Outgroup,right,2,,black-background,FAM
1,6,K_that.it_truck,BlackBoy2Gray,WhiteBoy2Outline,TruckcircleBlack,truck_Outgroup,right,2,,black-background,FAM
1,7,E_that.it_truck,BlackBoy2Outline,WhiteBoy2Gray,TruckcircleBlack,truck_Ingroup,left,0,,black-background,FAM
1,8,E_see.it_ball,BlackBoy2Outline,WhiteBoy2Gray,BallcircleBlack,ball_Ingroup,left,0,,black-background,FAM
1,9,K_that.it_ball,BlackBoy2Gray,WhiteBoy2Outline,BallcircleBlack,ball_Outgroup,right,2,,black-background,FAM
1,10,E_that.see_shoe,BlackBoy2Outline,WhiteBoy2Gray,ShoecircleBlack,shoe_Ingroup,left,0,,black-background,FAM
1,11,K_see.that_shoe,BlackBoy2Gray,WhiteBoy2Outline,ShoecircleBlack,shoe_Outgroup,right,2,,black-background,FAM
2,12,find_truck500,truckSquare,ballSquare,Black,truck,left,0,,black-background,FAM_LWL
2,13,where_apple500,appleSquare,shoeSquare,Black,apple,left,0,,black-background,FAM_LWL
2,14,find_ball500,truckSquare,ballSquare,Black,ball,right,2,,black-background,FAM_LWL
2,15,where_shoe500,shoeSquare,appleSquare,Black,shoe,left,0,,black-background,FAM_LWL
2,16,greatJob,LbeachBlack,RbeachBlack,Black,AG,center,1,,black-background,filler
3,17,E_that.see_glark,BlackBoy2Outline,WhiteBoy2Gray,nov1S2Circle,glark_Ingroup,left,0,,black-background,Teaching
3,18,K_see.it_bem,BlackBoy2Gray,WhiteBoy2Outline,nov1S2Circle,bem_Outgroup,right,2,,black-background,Teaching
3,19,K_that.it_virdex,BlackBoy2Gray,WhiteBoy2Outline,nov2S2Circle,virdex_Outgroup,right,2,,black-background,Teaching
3,20,E_see.that_tanzer,BlackBoy2Outline,WhiteBoy2Gray,nov2S2Circle,tanzer_Ingroup,left,0,,black-background,Teaching
3,21,E_it.that_krat,BlackBoy2Outline,WhiteBoy2Gray,nov3S2Circle,krat_Ingroup,left,0,,black-background,Teaching
3,22,K_see.it_juff,BlackBoy2Gray,WhiteBoy2Outline,nov3S2Circle,juff_Outgroup,right,2,,black-background,Teaching
3,23,E_that.see_fiffen,BlackBoy2Outline,WhiteBoy2Gray,nov4S2Circle,fiffen_Ingroup,left,0,,black-background,Teaching
3,24,K_it.that_coodle,BlackBoy2Gray,WhiteBoy2Outline,nov4S2Circle,coodle_Outgroup,right,2,,black-background,Teaching
3,25,K_that.it_virdex,BlackBoy2Gray,WhiteBoy2Outline,nov2S2Circle,virdex_Outgroup,right,2,,black-background,Teaching
3,26,E_see.that_tanzer,BlackBoy2Outline,WhiteBoy2Gray,nov2S2Circle,tanzer_Ingroup,left,0,,black-background,Teaching
3,27,E_that.see_fiffen,BlackBoy2Outline,WhiteBoy2Gray,nov4S2Circle,fiffen_Ingroup,left,0,,black-background,Teaching
3,28,K_it.that_coodle,BlackBoy2Gray,WhiteBoy2Outline,nov4S2Circle,coodle_Outgroup,right,2,,black-background,Teaching
3,29,K_see.it_bem,BlackBoy2Gray,WhiteBoy2Outline,nov1S2Circle,bem_Outgroup,right,2,,black-background,Teaching
3,30,E_that.see_glark,BlackBoy2Outline,WhiteBoy2Gray,nov1S2Circle,glark_Ingroup,left,0,,black-background,Teaching
3,31,E_it.that_krat,BlackBoy2Outline,WhiteBoy2Gray,nov3S2Circle,krat_Ingroup,left,0,,black-background,Teaching
3,32,K_see.it_juff,BlackBoy2Gray,WhiteBoy2Outline,nov3S2Circle,juff_Outgroup,right,2,,black-background,Teaching
4,33,where_krat500,nov1S2Square,nov3S2Square,Black,krat_Ingroup,right,2,,black-background,ImmTest
