block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,1,where_shoe500,shoeSquare,truckSquare,Black,shoe,left,0,,black-background,FAM_LWL
1,2,where_blicket500,nov1S2Square,nov3S2Square,Black,glark,left,0,,black-background,DelayTest
1,3,find_leam500,nov6S2Square,nov8S2Square,Black,pisk,right,2,,black-background,DelayTest
1,4,where_smope500,nov4S2Square,nov1S2Square,Black,fiffen,left,0,,black-background,DelayTest
1,5,where_akar500,nov5S2Square,nov7S2Square,Black,erag,right,2,,black-background,DelayTest
1,6,where_apple500,shoeSquare,appleSquare,Black,apple,right,2,,black-background,FAM_LWL
1,7,find_regli500,nov3S2Square,nov2S2Square,Black,krat,left,0,,black-background,DelayTest
1,8,where_fisp500,nov2S2Square,nov4S2Square,Black,tanzer,left,0,,black-background,DelayTest
1,9,where_zorch500,nov8S2Square,nov5S2Square,Black,modi,right,2,,black-background,DelayTest
1,10,where_manu500,nov3S2Square,nov1S2Square,Black,juff,left,0,,black-background,DelayTest
1,11,find_ball500,truckSquare,ballSquare,Black,ball,right,2,,black-background,FAM_LWL
1,12,where_teebu500,nov6S2Square,nov7S2Square,Black,hux,left,0,,black-background,DelayTest
1,13,find_pank500,nov2S2Square,nov4S2Square,Black,coodle,right,2,,black-background,DelayTest
1,14,find_jick500,nov8S2Square,nov5S2Square,Black,osip,right,2,,black-background,DelayTest
1,15,find_koba500,nov1S2Square,nov3S2Square,Black,bem,left,0,,black-background,DelayTest
1,16,where_apple500,appleSquare,shoeSquare,Black,apple,left,0,,black-background,FAM_LWL
1,17,find_doff500,nov6S2Square,nov8S2Square,Black,wilp,right,2,,black-background,DelayTest
1,18,find_cheem500,nov3S2Square,nov2S2Square,Black,virdex,right,2,,black-background,DelayTest
1,19,find_wiso500,nov6S2Square,nov7S2Square,Black,zeb,left,0,,black-background,DelayTest
1,20,where_vab500,nov5S2Square,nov7S2Square,Black,roke,right,2,,black-background,DelayTest
1,21,find_truck500,truckSquare,ballSquare,Black,car,left,0,,black-background,FAM_LWL
1,22,alldone,LoceanBlack,RoceanBlack,Black,AG,center,1,,black-background,filler
