block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,0,Intro,AsianGirl,AsianBoy,circleBlack,none,left,0,,black-background,FAM
1,1,hiDoa,AsianGirlOutline,AsianBoyGray,circleBlack,Outgroup,left,0,,black-background,intro
1,2,hiRaylor,AsianGirlGray,AsianBoyOutline,circleBlack,Ingroup,right,1,,black-background,intro
1,3,itsthat_apple,AsianGirlOutline,AsianBoyGray,ApplecircleBlack,appleOutgroup,left,0,,black-background,FAM
1,4,itssee_apple,AsianGirlGray,AsianBoyOutline,ApplecircleBlack,appleIngroup,right,1,,black-background,FAM
1,5,thatits_car,AsianGirlGray,AsianBoyOutline,TruckcircleBlack,carIngroup,right,1,,black-background,FAM
1,6,itssee_car,AsianGirlOutline,AsianBoyGray,TruckcircleBlack,carOutgropu,left,0,,black-background,FAM
1,7,thatits_ball,AsianGirlOutline,AsianBoyGray,BallcircleBlack,ballOutgroup,left,0,,black-background,FAM
1,8,seethat_ball,AsianGirlGray,AsianBoyOutline,BallcircleBlack,ballIngroup,right,1,,black-background,FAM
1,9,seethat_shoe,AsianGirlOutline,AsianBoyGray,ShoecircleBlack,shoeOutgroup,left,0,,black-background,FAM
1,10,thatits_shoe,AsianGirlGray,AsianBoyOutline,ShoecircleBlack,shoeIngroup,right,1,,black-background,FAM
2,11,find_car,CarsquareBlack,BallsquareBlack,,car,left,0,,black-background,FAM_LWL
2,12,where_apple,ApplesquareBlack,ShoesquareBlack,,apple,left,0,,black-background,FAM_LWL
2,13,where_ball,carsquareBlack,BallsquareBlack,,ball,right,1,,black-background,FAM_LWL
2,14,find_shoe,ShoesquareBlack,ApplesquareBlack,,shoe,left,0,,black-background,FAM_LWL
2,15,check_out,LbeachBlack,RbeachBlack,,AG,left,0,,black-background,filler
3,16,thatsee_kita,AsianGirlOutline,AsianBoyGray,nov1S1Circle,kita,left,0,,black-background,Teaching
3,17,seethat_blicket,AsianGirlGray,AsianBoyOutline,nov1S1Circle,blicket,right,1,,black-background,Teaching
3,18,seethat_cheem,AsianGirlGray,AsianBoyOutline,nov2S1Circle,cheem,right,1,,black-background,Teaching
3,19,seethat_fisp,AsianGirlOutline,AsianBoyGray,nov2S1Circle,fisp,left,0,,black-background,Teaching
3,20,seethat_manu,AsianGirlOutline,AsianBoyGray,nov3S1Circle,manu,left,0,,black-background,Teaching
3,21,seethat_regli,AsianGirlGray,AsianBoyOutline,nov3S1Circle,regli,right,1,,black-background,Teaching
3,22,seethat_pank,AsianGirlOutline,AsianBoyGray,nov4S1Circle,pank,left,0,,black-background,Teaching
3,23,thatsee_smope,AsianGirlGray,AsianBoyOutline,nov4S1Circle,smope,right,1,,black-background,Teaching
4,24,find_regli,nov1S1Square,nov3S1Square,,blicket,left,0,,black-background,ImmTest
4,25,find_smope,nov2S1Square,nov4S1Square,,smope,right,1,,black-background,ImmTest
4,26,find_kita,nov4S1Square,nov1S1Square,,pank,left,0,,black-background,ImmTest
4,27,find_cheem,nov3S1Square,nov2S1Square,,cheem,right,1,,black-background,ImmTest
4,28,find_manu,nov1S1Square,nov3S1Square,,kita,left,0,,black-background,ImmTest
4,29,find_pank,nov2S1Square,nov4S1Square,,fisp,left,0,,black-background,ImmTest
4,30,find_blicket,nov4S1Square,nov1S1Square,,kita,right,1,,black-background,ImmTest
4,31,find_fisp,nov3S1Square,nov2S1Square,,regli,left,0,,black-background,ImmTest
4,32,check_out,beach_left,beach_right,,AG,left,0,,black-background,filler
5,33,seethat_zorch,AsianGirlOutline,AsianBoyGray,n5circleBlack,zorch,left,0,,black-background,Teaching
5,34,seethat_jick,AsianGirlGray,AsianBoyOutline,n5circleBlack,jick,right,1,,black-background,Teaching
5,35,thatsee_teebu,AsianGirlGray,AsianBoyOutline,n6circleBlack,teebu,right,0,,black-background,Teaching
5,36,thatsee_wiso,AsianGirlOutline,AsianBoyGray,n6circleBlack,wiso,left,1,,black-background,Teaching
5,37,thatsee_isot,AsianGirlOutline,AsianBoyGray,n7circleBlack,isot,left,0,,black-background,Teaching
5,38,thatsee_akar,AsianGirlGray,AsianBoyOutline,n7circleBlack,akar,right,1,,black-background,Teaching
5,39,seethat_leem,AsianGirlGray,AsianBoyOutline,n8circleBlack,leam,right,0,,black-background,Teaching
5,40,thatsee_doff,AsianGirlOutline,AsianBoyGray,n8circleBlack,doff,left,1,,black-background,Teaching
6,41,find_zorch,nov5S1Square,nov7S1Square,,zorch,left,0,,black-background,ImmTest
6,42,find_doff,nov6S1Square,nov8S1Square,,doff,right,1,,black-background,ImmTest
6,43,find_jick,nov8S1Square,nov5S1Square,,jick,right,1,,black-background,ImmTest
6,44,find_isot,nov7S1Square,nov6S1Square,,isot,left,0,,black-background,ImmTest
6,45,find_akar,nov5S1Square,nov7S1Square,,akar,right,1,,black-background,ImmTest
6,46,find_teebu,nov6S1Square,nov8S1Square,,teebu,left,0,,black-background,ImmTest
6,47,find_leem,nov8S1Square,nov5S1Square,,leam,left,0,,black-background,ImmTest
6,48,find_wiso,nov7S1Square,nov6S1Square,,wiso,right,1,,black-background,ImmTest
6,49,End,LoceanBlack,RoceanBlack,,AG,left,0,,black-background,filler
