block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,1,find_shoe,shoeSquare,truckSquare,Black,shoe,left,0,,black-background,FAM_LWL
1,2,find_blicket,nov1S1Square,nov3S1Square,Black,blicket,left,0,,black-background,DelayTest
1,3,find_leem,nov6S1Square,nov8S1Square,Black,leam,right,1,,black-background,DelayTest
1,4,find_smope,nov4S1Square,nov1S1Square,Black,smope,left,0,,black-background,DelayTest
1,5,find_akar,nov5S1Square,nov7S1Square,Black,akar,right,1,,black-background,DelayTest
1,6,where_apple,shoeSquare,appleSquare,Black,apple,right,1,,black-background,FAM_LWL
1,7,find_regli,nov3S1Square,nov2S1Square,Black,regli,left,0,,black-background,DelayTest
1,8,find_fisp,nov2S1Square,nov4S1Square,Black,fisp,left,0,,black-background,DelayTest
1,9,find_zorch,nov8S1Square,nov5S1Square,Black,zorch,right,1,,black-background,DelayTest
1,10,find_manu,nov3S1Square,nov1S1Square,Black,manu,left,0,,black-background,DelayTest
1,11,where_ball,truckSquare,ballSquare,Black,ball,right,1,,black-background,FAM_LWL
1,12,find_teebu,nov6S1Square,nov7S1Square,Black,teebu,left,0,,black-background,DelayTest
1,13,find_pank,nov2S1Square,nov4S1Square,Black,pank,right,1,,black-background,DelayTest
1,14,find_jick,nov8S1Square,nov5S1Square,Black,jick,right,1,,black-background,DelayTest
1,15,find_kita,nov1S1Square,nov3S1Square,Black,kita,left,0,,black-background,DelayTest
1,16,where_apple,appleSquare,shoeSquare,Black,apple,left,0,,black-background,FAM_LWL
1,17,find_doff,nov6S1Square,nov8S1Square,Black,doff,right,1,,black-background,DelayTest
1,18,find_cheem,nov3S1Square,nov2S1Square,Black,cheem,right,1,,black-background,DelayTest
1,19,find_wiso,nov6S1Square,nov7S1Square,Black,wiso,left,0,,black-background,DelayTest
1,20,find_isot,nov5S1Square,nov7S1Square,Black,isot,right,1,,black-background,DelayTest
1,21,find_car,truckSquare,ballSquare,Black,car,left,0,,black-background,FAM_LWL
1,22,End,LoceanBlack,RoceanBlack,Black,AG,left,0,,black-background,filler
